ID,trial_index,condition_label,trial_type_label,visual_stimulus,tactile_stimulus,combo,felt_position,z_RT,error,visual_error,tactile_error
4,30,hand,OT,4,0,4-0,0,,0,,
4,31,hand,OV,0,4,0-4,2,1.755,1,,
4,32,hand,DP,1,4,1-4,2,-0.495,1,0,1
4,33,hand,OT,2,0,2-0,0,,0,,
4,34,hand,SP,3,3,3-3,3,-0.586,0,,
4,35,hand,SP,3,3,3-3,3,-0.214,0,,
4,36,hand,SP,4,4,4-4,4,1.261,0,,
4,37,hand,OT,3,0,3-0,0,,0,,
4,38,hand,OT,3,0,3-0,0,,0,,
4,39,hand,SP,1,1,1-1,1,0.741,0,,
4,40,hand,DP,2,1,2-1,2,3.446,1,1,0
4,41,hand,OV,0,2,0-2,4,-0.764,1,,
4,42,hand,DP,3,4,3-4,2,-0.858,1,0,1
4,43,hand,OT,1,0,1-0,0,,0,,
4,44,hand,OV,0,2,0-2,2,-0.086,0,,
4,45,hand,OV,0,3,0-3,4,0.058,1,,
4,46,hand,SP,4,4,4-4,4,1.348,0,,
4,47,hand,OV,0,2,0-2,1,0.475,1,,
4,48,hand,DP,1,2,1-2,1,-0.877,1,1,0
4,49,hand,OV,0,4,0-4,2,-0.322,1,,
4,50,hand,DP,1,2,1-2,1,-0.599,1,1,0
4,51,hand,OV,0,1,0-1,3,-0.345,1,,
4,52,hand,OV,0,4,0-4,2,-0.823,1,,
4,53,hand,DP,2,1,2-1,2,-0.852,1,1,0
4,54,hand,DP,4,1,4-1,4,-0.346,1,1,0
4,55,hand,OT,2,0,2-0,0,,0,,
4,56,hand,OT,4,0,4-0,0,,0,,
4,57,hand,OV,0,1,0-1,1,2.828,0,,
4,58,hand,DP,2,3,2-3,2,-1.114,1,1,0
4,59,hand,SP,2,2,2-2,2,-0.214,0,,
4,60,hand,OT,4,0,4-0,0,,0,,
4,61,hand,OV,0,1,0-1,1,1.344,0,,
4,62,hand,SP,2,2,2-2,2,0.46,0,,
4,63,hand,OT,1,0,1-0,0,,0,,
4,64,hand,OT,2,0,2-0,0,,0,,
5,1,cube,OV,0,3,0-3,3,-0.044,0,,
5,2,cube,SP,4,4,4-4,4,-0.791,0,,
5,3,cube,OV,0,3,0-3,3,-0.55,0,,
5,4,cube,OV,0,2,0-2,2,0.327,0,,
