participant,condition,stimulation_type,ruler_position,distance,answer
7,cube,OV,0.24,0.11,25.0
7,cube,OV,0.3,0.04999998,19.0
7,cube,OT,0.24,0.11,28.0
7,cube,OT,0.18,0.17,33.0
7,cube,OT,0.33,0.01999998,19.0
7,cube,OT,0.3,0.04999998,22.0
7,cube,OT,0.21,0.14,30.0
7,cube,OT,0.3,0.04999998,20.0
7,cube,OT,0.33,0.01999998,20.0
7,cube,OT,0.21,0.14,29.0
7,cube,OT,0.12,0.23,37.0
7,cube,OT,0.15,0.2,35.0
7,cube,SP,0.24,0.11,28.0
7,cube,SP,0.15,0.2,34.0
7,cube,SP,0.21,0.14,30.0
7,cube,SP,0.3,0.04999998,19.0
7,cube,SP,0.12,0.23,36.0
7,cube,SP,0.24,0.11,25.0
7,cube,SP,0.27,0.07999998,23.0
7,cube,SP,0.12,0.23,35.0
7,cube,SP,0.21,0.14,27.0
7,cube,SP,0.3,0.04999998,19.0
7,cube,DP,0.27,0.07999998,22.0
7,cube,DP,0.12,0.23,46.0
7,cube,DP,0.21,0.14,40.0
7,cube,DP,0.33,0.01999998,25.0
7,cube,DP,0.15,0.2,47.0
7,cube,DP,0.3,0.04999998,27.0
7,cube,DP,0.27,0.07999998,23.0
7,cube,DP,0.15,0.2,38.0
7,cube,DP,0.12,0.23,42.0
7,cube,DP,0.33,0.01999998,20.0
7,hand,OV,0.24,0.11,24.0
7,hand,OV,0.18,0.17,29.0
7,hand,OV,0.12,0.23,33.0
7,hand,OV,0.15,0.2,31.0
7,hand,OV,0.3,0.04999998,18.0
7,hand,OV,0.27,0.07999998,17.0
7,hand,OV,0.33,0.01999998,12.0
7,hand,OV,0.18,0.17,25.0
7,hand,OV,0.21,0.14,24.0
7,hand,OV,0.15,0.2,29.0
7,hand,OT,0.15,0.2,37.0
7,hand,OT,0.21,0.14,29.0
7,hand,OT,0.3,0.04999998,21.0
7,hand,OT,0.24,0.11,26.0
7,hand,OT,0.18,0.17,32.0
7,hand,OT,0.21,0.14,21.0
